total_obs,sev_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
0,0,269.0,259.0,269.0,244.0,281.0,256.0,262.0,257.0,271.0,268.0,257.0,265.0,265.0,264.0,258.0,253.0,260.0,286.0,252.0,260.0,260.0,262.0,268.0,254.0,259.0,248.0,260.0,253.0,270.0,269.0,279.0,254.0,235.0,258.0,265.0,268.0,241.0,257.0,259.0,259.0,255.0,257.0,264.0,264.0,269.0,259.0,257.0,260.0,276.0,268.0,263.0
0,1,45.0,49.0,43.0,49.0,50.0,33.0,51.0,48.0,47.0,49.0,52.0,42.0,43.0,43.0,50.0,49.0,48.0,44.0,43.0,39.0,44.0,48.0,41.0,46.0,46.0,43.0,41.0,50.0,46.0,46.0,43.0,55.0,45.0,56.0,47.0,46.0,47.0,54.0,51.0,42.0,43.0,62.0,47.0,51.0,43.0,35.0,54.0,49.0,43.0,48.0,33.0
0,2,4.0,5.0,6.0,8.0,3.0,11.0,3.0,6.0,4.0,7.0,7.0,5.0,9.0,7.0,8.0,6.0,7.0,5.0,1.0,6.0,3.0,4.0,11.0,8.0,9.0,7.0,6.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,2.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,7.0,7.0,7.0,6.0,4.0,6.0,3.0,2.0,11.0
0,3,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,415.0,440.0,429.0,452.0,431.0,432.0,445.0,437.0,429.0,419.0,435.0,435.0,435.0,415.0,416.0,415.0,426.0,431.0,439.0,430.0,454.0,419.0,420.0,433.0,441.0,428.0,432.0,448.0,415.0,423.0,427.0,431.0,443.0,435.0,435.0,430.0,433.0,439.0,446.0,426.0,430.0,428.0,418.0,442.0,436.0,416.0,422.0,430.0,421.0,428.0,430.0
1,1,28.0,27.0,20.0,30.0,21.0,17.0,30.0,21.0,22.0,20.0,25.0,27.0,25.0,22.0,28.0,25.0,32.0,24.0,24.0,23.0,24.0,28.0,26.0,18.0,22.0,25.0,27.0,18.0,24.0,31.0,21.0,27.0,19.0,25.0,24.0,19.0,21.0,25.0,19.0,28.0,27.0,25.0,24.0,26.0,20.0,25.0,19.0,20.0,23.0,25.0,26.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,0,248.0,244.0,243.0,239.0,242.0,255.0,234.0,238.0,249.0,241.0,236.0,246.0,247.0,271.0,253.0,240.0,252.0,249.0,243.0,233.0,221.0,245.0,255.0,256.0,258.0,246.0,246.0,239.0,256.0,246.0,249.0,244.0,249.0,259.0,247.0,246.0,267.0,246.0,241.0,251.0,250.0,245.0,245.0,249.0,232.0,260.0,256.0,252.0,254.0,250.0,237.0
2,1,23.0,30.0,23.0,15.0,16.0,21.0,14.0,27.0,29.0,24.0,28.0,19.0,26.0,25.0,20.0,29.0,19.0,22.0,22.0,19.0,24.0,16.0,28.0,23.0,19.0,20.0,22.0,34.0,15.0,22.0,22.0,27.0,30.0,21.0,25.0,27.0,27.0,23.0,29.0,25.0,21.0,21.0,21.0,26.0,22.0,21.0,22.0,29.0,26.0,19.0,21.0
