total_obs,total_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
0,0,639.0,651.0,664.0,641.0,650.0,649.0,654.0,670.0,648.0,649.0,646.0,653.0,656.0,651.0,645.0,656.0,649.0,659.0,639.0,657.0,655.0,637.0,659.0,661.0,664.0,633.0,666.0,654.0,657.0,643.0,663.0,654.0,653.0,674.0,662.0,653.0,648.0,656.0,670.0,647.0,646.0,659.0,654.0,668.0,654.0,634.0,677.0,667.0,648.0,659.0,646.0,653.0,660.0,684.0,667.0,639.0,647.0,655.0,653.0,670.0,634.0,655.0,658.0,652.0,656.0,663.0,660.0,650.0,647.0,643.0,651.0,639.0,658.0,666.0,658.0,661.0,656.0,650.0,670.0,656.0,655.0,656.0,642.0,640.0,655.0,647.0,675.0,659.0,666.0,664.0,659.0,655.0,649.0,670.0,647.0,663.0,629.0,666.0,658.0,660.0,660.0
0,1,179.0,181.0,186.0,182.0,196.0,169.0,185.0,179.0,179.0,188.0,188.0,170.0,165.0,176.0,172.0,173.0,182.0,189.0,165.0,171.0,169.0,186.0,192.0,177.0,171.0,181.0,170.0,194.0,182.0,196.0,185.0,182.0,177.0,171.0,187.0,174.0,184.0,190.0,183.0,181.0,188.0,179.0,179.0,184.0,177.0,188.0,172.0,171.0,180.0,193.0,171.0,183.0,168.0,163.0,174.0,186.0,194.0,177.0,175.0,183.0,174.0,191.0,155.0,177.0,180.0,168.0,183.0,191.0,169.0,186.0,178.0,191.0,185.0,194.0,191.0,184.0,175.0,165.0,174.0,174.0,169.0,178.0,156.0,190.0,190.0,164.0,156.0,185.0,192.0,181.0,174.0,166.0,184.0,181.0,184.0,180.0,181.0,172.0,172.0,193.0,186.0
0,2,28.0,35.0,31.0,31.0,37.0,26.0,35.0,27.0,34.0,31.0,32.0,27.0,35.0,35.0,32.0,26.0,28.0,25.0,31.0,26.0,33.0,27.0,29.0,30.0,30.0,33.0,38.0,19.0,21.0,32.0,35.0,30.0,33.0,29.0,30.0,25.0,30.0,28.0,30.0,33.0,25.0,30.0,36.0,34.0,26.0,24.0,37.0,29.0,34.0,30.0,26.0,27.0,38.0,27.0,27.0,30.0,23.0,28.0,35.0,28.0,30.0,35.0,37.0,30.0,26.0,31.0,23.0,32.0,28.0,27.0,35.0,26.0,22.0,25.0,22.0,38.0,31.0,23.0,23.0,33.0,27.0,30.0,35.0,25.0,23.0,21.0,43.0,33.0,28.0,29.0,37.0,32.0,29.0,27.0,21.0,23.0,19.0,26.0,20.0,25.0,28.0
0,3,11.0,7.0,9.0,12.0,9.0,15.0,8.0,6.0,10.0,7.0,11.0,10.0,10.0,8.0,10.0,12.0,11.0,6.0,3.0,7.0,12.0,8.0,13.0,13.0,9.0,8.0,8.0,9.0,8.0,6.0,6.0,4.0,6.0,10.0,4.0,12.0,4.0,9.0,12.0,7.0,7.0,15.0,6.0,7.0,9.0,10.0,11.0,11.0,8.0,9.0,9.0,11.0,6.0,9.0,8.0,11.0,8.0,12.0,10.0,8.0,8.0,6.0,6.0,10.0,5.0,11.0,8.0,8.0,6.0,5.0,3.0,11.0,11.0,11.0,8.0,9.0,9.0,11.0,11.0,7.0,8.0,9.0,14.0,9.0,12.0,14.0,7.0,5.0,10.0,6.0,7.0,9.0,8.0,7.0,5.0,10.0,11.0,7.0,11.0,10.0,5.0
0,4,1.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,1.0,2.0,6.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,5.0,6.0,3.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,3.0,5.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,2.0,5.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,1.0,7.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,4.0,1.0,2.0,5.0
0,5,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,1.0,0.0,1.0
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,335.0,342.0,324.0,340.0,348.0,343.0,318.0,308.0,334.0,333.0,320.0,353.0,354.0,344.0,337.0,341.0,337.0,351.0,360.0,343.0,336.0,337.0,319.0,330.0,349.0,341.0,337.0,344.0,327.0,312.0,328.0,339.0,337.0,332.0,321.0,354.0,341.0,337.0,311.0,330.0,342.0,338.0,338.0,349.0,328.0,330.0,322.0,318.0,354.0,338.0,328.0,335.0,333.0,344.0,325.0,347.0,333.0,329.0,356.0,330.0,330.0,335.0,348.0,327.0,340.0,330.0,328.0,337.0,326.0,337.0,332.0,343.0,337.0,339.0,317.0,324.0,342.0,336.0,343.0,323.0,332.0,327.0,342.0,345.0,334.0,329.0,332.0,317.0,327.0,327.0,336.0,327.0,340.0,311.0,344.0,336.0,357.0,341.0,344.0,325.0,334.0
1,1,109.0,111.0,95.0,118.0,97.0,103.0,107.0,104.0,117.0,115.0,114.0,112.0,111.0,102.0,116.0,111.0,109.0,107.0,98.0,96.0,110.0,121.0,101.0,112.0,100.0,109.0,105.0,118.0,105.0,119.0,118.0,110.0,99.0,106.0,108.0,106.0,114.0,118.0,98.0,120.0,100.0,107.0,97.0,109.0,106.0,113.0,92.0,108.0,104.0,98.0,115.0,108.0,105.0,103.0,106.0,97.0,108.0,117.0,103.0,112.0,114.0,102.0,120.0,113.0,116.0,117.0,110.0,117.0,119.0,108.0,105.0,118.0,116.0,100.0,114.0,116.0,108.0,106.0,98.0,105.0,106.0,115.0,126.0,107.0,103.0,133.0,112.0,120.0,106.0,101.0,111.0,112.0,107.0,114.0,112.0,102.0,122.0,97.0,100.0,103.0,102.0
