id,avg_kill_ratio
account.da692c372cb9405381d8f9560a2ee9eb,0.7319
account.db0194ee509c42ff845c15688c56a7bd,0.6842
account.dbff611232454999ae629c6a1d0a2445,0.8912
account.dc0d711bae2c42c9975872b5bf312761,0.85
account.dc3222e45fe549dea428c938abcdff83,0.8421
account.dc6c744e42964c2b997943fc2f08558c,0.85
account.dc735316716547bb861ef2af95ddef7e,0.8235
account.dcde2880abbd40c28e0476069d3341d3,0.5
account.dce5929143934f00ad534417c1b1d66f,0.8
account.dd8221005e144f5ca88364570ba81f5e,0.8284
account.ddbe1601c20248a38421caefc15542c3,0.9231
account.dddcd02252824cfbbe74c843bdfbbe6b,0.7424
account.de16e11d099744bcba0bbba665110cec,0.8519
account.de7179d91add4647bf915d62dcbf4076,0.5095
account.dead0568f6fc4247a11d08764c609351,0.7768
account.deb039d2aa3a4e19af8e9b2e6738e7c7,0.9032
account.dee341408d3641bb82de35d6d3fd28b2,0.8621
account.df09de970fb048ebbd6f61b516320323,0.7246
account.e05237c8350545cc8d8ca52be94ee082,0.8225
account.e0da952e021b4d199418e11a6bc8f99a,1.0
account.e1d8a0fe627d452aa16fb29e35a35c4b,0.8889
account.e21592088b374e38a8f925e0b0a5f627,0.9012
account.e294a7c681c5482dbeaee1a88655bbde,0.9032
account.e2db8573e93e4b0da71d1e49e61d2b39,0.8
account.e397709b1bf24138802d4c69c6fc33ff,0.4459
account.e3a5753aef9b4276b535d2f3f4cdb07e,0.5
account.e493e8036d9649d2b1b60306b85a7807,0.7822
account.e59ff6716d1c4556978ac475e6774b7e,0.8611
account.e5cc00c85f1b47c29646d9799b2c1ca2,0.9
account.e651fddadc7a4299a94ef8e2b01499d1,0.9815
account.e721ac2ceca441d7827ff1d5bffdca1e,0.5833
account.e7e73fd9f47d4539bc43ad642d1dba9d,0.769
account.e8a59c66429e46a4a966c4e90d5c659c,0.8667
account.e8c2f7daccaa463fb5f601a4de53f47c,0.4545
account.e9b9776852344129903184dd3989b0d0,0.9223
account.eaae40c95dd64de2af994f06ba88f04e,0.9398
account.eb49050b73844e3b889ecb7d0aa8e625,0.4
account.eb7c962ec401489fa506035a3c9af311,0.9211
account.ebb8930291d74040a2c1a6153281f2c3,0.6957
account.ec12c38092f94ec98b9956604c8b8876,0.8824
account.ec68d1fd7b494c02974bc552e832e525,0.5
account.ecc9689b29884fdab6d659d9bcd01382,0.8889
account.ece78164cf444abb9ba77e025112793a,0.8515
account.ed2ab80fdcf94d999da4dc933250db3a,0.8372
account.ed7ea84aa59b4341abf4d75ea3cc9141,0.7778
account.edfbc2dd0c9f44b1b6a33c3e09546fe1,0.9756
account.ee40c759a25640bb8e93b4e0fa749cfa,0.9737
account.efc706d0ca4f430587684e5a6d2fd674,0.9032
account.f068b7182b4842f484f2d30d92948eb4,0.8947
account.f0bdfcb61ebf4d64ba633dfe6266a075,0.913
account.f1bf619dec6c43f1b27444bec15ca580,0.7636
account.f1f56535dcc344bfb4833966b0b552dd,0.8409
account.f261b71fe7704a879d6f52e47b508cae,0.6875
account.f2911f74a4c24dfb9e9de0fcc6cde14b,0.8852
account.f37670b1aa874cc2bf52e05b653c93e8,0.875
account.f3a2955a47e141af996431eb740bc181,0.9291
account.f428352a25ce4ec4bb6a450e4d99a871,0.8183
account.f450cac808554ab7a1ac9b43854b999c,0.9338
account.f4816ace554447b1a5969dd0737ce491,0.75
account.f4f190e01392480f8a650d3c5ce4b1e9,0.8087
account.f53b0bcde9f240488649910b3a0c2955,1.0
account.f554aebcf0db49039f00cf7adb600ba2,0.7702
account.f6648b7099c14fceba43c01cc91c516b,0.6
account.f69b6e4c69ac4bf29b227c0d5a763c65,0.8785
account.f772a78ce06e4e1abe93991fe2137cb2,1.0
account.f7d1ed3d27dd4564b7333b29c468dd24,0.8081
account.f8892cf4e28b4e648d951833384c7d87,0.0
account.f8a3d37057af41358e62523ae7b673eb,0.5974
