"total_obs","total_exp","E","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100","R101","R102","R103","R104","R105","R106","R107","R108","R109","R110","R111","R112","R113","R114","R115","R116","R117","R118","R119","R120","R121","R122","R123","R124","R125","R126","R127","R128","R129","R130","R131","R132","R133","R134","R135","R136","R137","R138","R139","R140","R141","R142","R143","R144","R145","R146","R147","R148","R149","R150","R151","R152","R153","R154","R155","R156","R157","R158","R159","R160","R161","R162","R163","R164","R165","R166","R167","R168","R169","R170","R171","R172","R173","R174","R175","R176","R177","R178","R179","R180","R181","R182","R183","R184","R185","R186","R187","R188","R189","R190","R191","R192","R193","R194","R195","R196","R197","R198","R199","R200","rand_mean","rand_std","norm_pval"
0,0,183,179,183,163,181,174,169,180,177,176,181,177,178,177,180,179,169,192,172,184,179,174,181,171,178,164,176,179,185,174,190,168,163,181,182,186,167,172,175,176,171,181,178,186,183,166,179,174,186,174,173,178,175,181,178,184,173,175,176,185,166,170,177,187,174,177,180,183,175,168,170,175,176,171,171,190,189,179,181,170,184,176,171,170,171,182,183,179,166,180,186,181,184,177,159,175,174,173,181,180,176,167,178,167,174,172,177,178,172,167,186,177,179,167,176,169,183,182,173,169,172,174,175,183,164,177,176,177,177,179,174,179,165,182,183,179,177,171,175,185,180,177,177,176,169,175,190,180,188,170,194,181,173,180,180,173,193,165,177,172,177,177,187,177,181,187,183,162,166,162,181,171,189,184,180,181,166,179,176,172,182,175,183,181,180,177,165,181,180,176,172,175,184,166,179,188,178,182,177,174,169,176.77,6.55913188274762,0.851
0,1,101,100,102,101,119,92,108,103,109,119,99,100,95,101,101,97,111,115,91,92,90,112,102,100,100,102,90,105,107,113,104,112,92,100,107,101,94,111,104,95,99,111,103,102,104,105,95,104,99,112,102,101,90,104,94,97,102,97,107,108,105,113,87,104,103,96,99,105,89,100,102,102,103,109,110,101,101,92,97,96,90,98,82,111,113,94,86,102,107,106,100,93,94,100,104,101,104,96,100,106,113,115,108,103,102,101,95,115,107,94,90,97,104,86,103,96,114,107,95,102,102,112,109,97,103,98,109,105,114,97,95,101,88,100,97,108,101,104,108,126,104,98,94,102,96,112,98,86,95,89,100,93,99,101,106,104,96,89,107,97,102,78,107,102,107,93,92,97,106,107,108,98,106,99,98,97,98,103,102,104,99,118,102,89,107,99,104,108,91,101,109,104,92,105,113,85,98,110,112,106,108,101.42,7.51237505017371,0
0,2,22,27,25,24,27,20,28,20,25,19,24,21,29,24,23,20,23,21,26,21,25,21,24,25,22,24,32,14,18,21,26,24,21,25,18,20,26,18,23,26,21,18,27,27,19,19,30,25,29,23,19,21,29,18,23,24,17,21,24,22,18,25,30,23,21,25,20,25,21,20,23,22,19,21,16,29,21,15,19,28,20,24,27,21,18,16,36,26,21,22,27,26,22,19,18,18,14,19,19,19,21,24,21,17,24,27,29,23,20,20,29,22,21,23,24,24,22,19,27,20,23,21,21,21,25,21,24,18,20,23,35,25,23,26,24,22,18,20,22,21,22,25,26,25,25,21,22,19,21,14,20,26,21,25,18,23,22,21,23,18,29,31,19,21,13,24,20,22,18,27,26,22,21,22,18,27,20,23,22,23,25,18,16,28,23,21,26,18,35,24,27,25,23,27,25,34,23,17,21,24,16,22.6,3.95705590777872,0
0,3,13,8,10,14,8,15,12,8,14,12,12,14,15,12,12,13,12,8,7,10,13,7,14,13,14,9,11,12,12,12,9,9,10,13,7,11,7,15,12,10,11,16,10,7,13,10,11,13,9,11,13,12,10,12,11,9,11,14,12,11,10,9,9,11,9,10,11,9,10,11,9,13,16,13,15,13,12,17,13,11,14,12,15,11,14,17,6,9,14,10,10,9,10,10,9,10,13,14,12,10,10,10,9,9,11,10,12,11,9,13,10,13,11,14,13,10,13,11,11,18,12,12,19,9,8,11,13,15,6,11,10,16,12,12,9,15,18,12,14,12,11,15,9,13,11,13,10,11,11,16,11,13,15,13,13,12,11,16,12,8,10,13,13,12,14,9,12,7,15,9,10,13,11,11,17,10,15,14,13,8,7,17,16,13,9,9,9,9,13,14,13,9,18,10,14,14,10,14,14,16,18,11.71,2.58054179968074,0.586
1,0,381,406,391,415,399,400,416,405,389,385,393,400,408,378,385,393,399,403,408,394,424,389,382,404,412,395,399,409,380,389,392,402,398,403,396,396,397,400,405,391,397,397,383,405,406,389,393,397,391,404,394,391,399,409,393,392,409,388,395,390,384,385,406,378,402,400,408,402,400,401,408,397,409,402,389,379,392,393,408,392,395,405,400,407,407,379,406,389,405,391,390,396,387,402,413,395,400,404,383,412,410,404,409,416,394,397,390,392,405,397,386,389,407,400,394,395,399,390,410,404,383,394,392,397,412,409,397,403,403,398,408,400,418,390,394,390,400,390,382,398,384,392,418,399,422,414,394,393,395,408,391,378,398,392,404,388,391,407,394,413,415,390,389,390,384,397,392,386,404,401,399,394,389,389,398,382,397,401,380,397,399,416,379,395,390,404,419,380,391,378,416,387,401,406,389,385,391,391,392,388,398,397.215,9.69270434852625,0.229
1,1,60,57,55,65,50,46,56,51,58,51,64,60,50,55,58,46,56,51,51,57,54,54,64,43,50,54,59,55,58,64,53,54,61,54,58,50,54,63,55,62,60,52,55,62,45,51,42,51,53,43,58,64,48,46,59,59,59,61,51,60,53,53,55,53,54,55,66,57,54,57,54,64,52,57,56,59,50,51,49,49,49,61,67,60,52,59,51,57,57,54,50,46,65,55,51,54,55,52,55,49,45,56,61,51,58,56,59,47,52,60,60,50,52,57,57,53,50,51,45,62,61,61,52,54,58,57,47,59,53,55,60,46,61,54,63,51,56,62,49,43,57,65,52,48,59,57,49,59,58,53,55,63,55,59,49,71,61,58,59,54,49,53,49,55,50,53,46,60,63,51,49,65,54,58,58,57,60,56,51,54,51,49,62,59,58,62,53,51,48,55,56,55,55,56,58,45,63,54,51,54,62,55.025,5.34858972630183,0.527
1,2,2,3,3,2,3,3,3,2,4,4,3,2,2,4,0,1,3,1,4,2,0,4,0,4,1,4,1,2,1,0,3,2,3,3,5,3,3,1,5,1,0,3,4,1,5,1,6,2,0,7,4,4,1,3,2,4,4,3,4,2,3,4,2,4,3,3,1,3,0,2,3,2,2,2,3,1,2,2,0,3,3,1,2,4,3,1,2,2,2,3,0,4,3,2,1,2,1,3,3,2,3,3,2,4,2,1,1,3,1,3,2,1,1,0,2,3,6,6,2,2,2,1,4,3,2,5,3,1,1,6,4,3,2,3,3,4,2,2,2,2,2,1,5,2,1,1,4,1,3,3,2,0,4,5,5,2,5,3,3,1,5,2,5,2,2,1,3,2,1,5,3,2,4,1,1,2,3,2,1,3,3,4,3,1,1,1,3,2,3,1,1,1,3,2,2,2,3,3,0,3,3,2.475,1.39250506345894,0.408
1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.085,0.297011919629516,0
2,0,214,210,206,209,207,221,204,201,217,210,200,212,216,238,214,209,210,213,211,202,188,217,223,218,231,211,213,206,224,211,213,210,216,223,211,214,226,216,212,216,216,212,218,218,194,215,219,224,212,211,210,205,221,224,216,198,195,220,212,222,213,226,213,211,223,220,198,209,202,207,215,226,216,221,220,226,212,211,219,218,215,219,198,202,203,213,211,221,211,214,218,209,220,226,216,221,206,212,214,203,211,203,209,201,218,208,217,214,221,227,211,215,229,229,209,231,219,220,213,209,222,208,232,200,205,219,237,221,210,212,223,192,211,208,204,210,211,225,208,212,231,218,194,221,195,209,205,208,201,200,211,219,208,204,200,233,213,207,224,207,200,216,222,220,213,215,218,221,223,225,200,200,228,218,206,223,219,221,228,227,216,202,217,216,215,202,225,231,225,240,213,217,212,214,205,225,213,218,221,226,202,214.095,9.20705295524051,0.323
2,1,53,57,53,42,45,50,38,58,55,48,61,50,50,52,53,51,55,56,46,42,51,40,53,58,41,50,51,60,43,48,51,56,55,52,57,51,63,48,54,55,48,49,45,49,51,61,53,52,62,48,42,43,45,40,50,42,55,47,49,43,56,47,47,52,55,53,46,57,62,65,44,48,54,45,53,48,52,52,50,58,54,46,51,40,55,50,54,56,55,53,58,49,58,60,46,44,56,44,41,56,50,55,47,51,61,51,53,52,46,48,54,62,49,53,43,48,53,53,49,50,53,50,37,52,49,47,50,50,49,50,52,59,50,56,45,49,56,47,53,54,41,44,46,48,50,51,60,52,51,46,52,50,48,57,53,51,52,67,58,55,57,47,52,46,63,50,56,57,55,46,53,48,52,56,45,49,50,46,52,47,53,46,48,50,48,44,49,51,58,50,58,54,36,54,50,50,54,59,47,46,49,50.96,5.44579502158183,0.945
