total_obs,total_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120,R121,R122,R123,R124,R125,R126,R127,R128,R129,R130,R131,R132,R133,R134,R135,R136,R137,R138,R139,R140,R141,R142,R143,R144,R145,R146,R147,R148,R149,R150,R151,R152,R153,R154,R155,R156,R157,R158,R159,R160,R161,R162,R163,R164,R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188,R189,R190,R191,R192,R193,R194,R195,R196,R197,R198,R199,R200,rand_mean,rand_std
0,0,798.0,798.0,826.0,794.0,820.0,802.0,811.0,808.0,809.0,806.0,801.0,797.0,800.0,806.0,787.0,790.0,802.0,816.0,783.0,798.0,799.0,792.0,819.0,813.0,806.0,789.0,815.0,802.0,807.0,807.0,827.0,800.0,802.0,810.0,819.0,794.0,797.0,808.0,824.0,799.0,799.0,798.0,802.0,813.0,802.0,797.0,826.0,810.0,803.0,814.0,792.0,804.0,801.0,832.0,806.0,797.0,812.0,804.0,799.0,818.0,781.0,808.0,794.0,802.0,804.0,812.0,815.0,802.0,793.0,800.0,803.0,791.0,817.0,827.0,812.0,822.0,811.0,784.0,806.0,795.0,797.0,806.0,784.0,805.0,813.0,783.0,813.0,819.0,824.0,814.0,809.0,798.0,805.0,819.0,794.0,815.0,778.0,815.0,794.0,819.0,826.0,813.0,805.0,805.0,820.0,807.0,811.0,807.0,796.0,801.0,793.0,795.0,818.0,817.0,796.0,810.0,824.0,818.0,801.0,810.0,805.0,819.0,819.0,796.0,799.0,813.0,820.0,811.0,812.0,800.0,812.0,788.0,792.0,813.0,805.0,825.0,804.0,804.0,791.0,825.0,813.0,803.0,810.0,805.0,819.0,813.0,797.0,808.0,810.0,764.0,809.0,801.0,804.0,801.0,806.0,814.0,804.0,801.0,818.0,804.0,809.0,791.0,825.0,800.0,785.0,790.0,790.0,781.0,809.0,795.0,788.0,802.0,804.0,798.0,791.0,818.0,783.0,798.0,788.0,813.0,820.0,807.0,823.0,811.0,815.0,801.0,795.0,819.0,794.0,789.0,807.0,811.0,787.0,811.0,806.0,799.0,802.0,803.0,811.0,790.0,783.0,804.835,11.42147210851685
0,1,58.0,73.0,58.0,66.0,69.0,48.0,71.0,71.0,62.0,63.0,70.0,62.0,62.0,62.0,67.0,74.0,64.0,60.0,58.0,57.0,69.0,62.0,66.0,62.0,67.0,60.0,62.0,71.0,59.0,72.0,59.0,73.0,67.0,74.0,64.0,67.0,68.0,75.0,70.0,66.0,68.0,82.0,72.0,75.0,62.0,53.0,70.0,65.0,65.0,75.0,53.0,68.0,69.0,48.0,69.0,68.0,58.0,62.0,66.0,73.0,63.0,74.0,57.0,64.0,59.0,57.0,59.0,76.0,58.0,61.0,61.0,76.0,58.0,67.0,67.0,72.0,59.0,64.0,69.0,72.0,59.0,66.0,59.0,60.0,64.0,59.0,66.0,62.0,72.0,65.0,67.0,63.0,63.0,63.0,64.0,57.0,59.0,55.0,63.0,60.0,53.0,77.0,70.0,55.0,62.0,67.0,70.0,68.0,60.0,68.0,59.0,66.0,67.0,60.0,54.0,63.0,71.0,55.0,50.0,60.0,67.0,59.0,63.0,51.0,59.0,65.0,63.0,53.0,63.0,69.0,67.0,73.0,55.0,70.0,59.0,56.0,65.0,59.0,69.0,65.0,63.0,64.0,55.0,68.0,62.0,67.0,57.0,51.0,58.0,65.0,66.0,59.0,74.0,64.0,61.0,74.0,67.0,54.0,67.0,60.0,65.0,58.0,66.0,59.0,63.0,70.0,63.0,67.0,62.0,63.0,70.0,63.0,67.0,65.0,65.0,67.0,65.0,68.0,69.0,74.0,63.0,71.0,63.0,61.0,71.0,58.0,67.0,67.0,73.0,72.0,77.0,66.0,67.0,65.0,68.0,65.0,63.0,74.0,75.0,61.0,71.0,64.49,6.121869521000984
0,2,5.0,6.0,8.0,10.0,6.0,12.0,4.0,6.0,7.0,11.0,8.0,5.0,10.0,7.0,8.0,7.0,7.0,7.0,1.0,9.0,4.0,5.0,12.0,9.0,9.0,9.0,9.0,7.0,6.0,5.0,7.0,4.0,7.0,5.0,4.0,4.0,6.0,6.0,4.0,6.0,4.0,7.0,7.0,7.0,8.0,7.0,4.0,7.0,4.0,5.0,11.0,4.0,6.0,9.0,5.0,3.0,7.0,9.0,10.0,3.0,7.0,10.0,9.0,6.0,8.0,6.0,5.0,5.0,5.0,6.0,9.0,5.0,7.0,6.0,7.0,4.0,4.0,8.0,6.0,10.0,10.0,6.0,7.0,2.0,7.0,9.0,4.0,7.0,5.0,6.0,5.0,3.0,6.0,6.0,5.0,6.0,8.0,8.0,7.0,11.0,7.0,3.0,8.0,5.0,9.0,7.0,5.0,7.0,6.0,8.0,6.0,11.0,6.0,7.0,11.0,6.0,7.0,8.0,11.0,8.0,6.0,6.0,12.0,8.0,4.0,5.0,9.0,8.0,3.0,6.0,11.0,10.0,6.0,6.0,6.0,8.0,10.0,10.0,8.0,10.0,7.0,10.0,6.0,6.0,7.0,8.0,7.0,6.0,8.0,9.0,4.0,10.0,4.0,11.0,8.0,8.0,7.0,11.0,7.0,5.0,9.0,12.0,2.0,5.0,9.0,8.0,6.0,4.0,5.0,7.0,7.0,6.0,3.0,10.0,7.0,6.0,6.0,10.0,5.0,3.0,8.0,9.0,10.0,12.0,7.0,10.0,4.0,3.0,13.0,8.0,13.0,4.0,10.0,6.0,7.0,7.0,4.0,8.0,7.0,9.0,11.0,7.01,2.3638610779781244
1,0,391.0,403.0,377.0,405.0,406.0,409.0,382.0,361.0,393.0,407.0,381.0,416.0,416.0,408.0,401.0,400.0,399.0,415.0,420.0,404.0,397.0,404.0,372.0,399.0,408.0,401.0,396.0,413.0,393.0,385.0,396.0,404.0,396.0,394.0,372.0,418.0,411.0,412.0,373.0,402.0,405.0,400.0,399.0,412.0,394.0,393.0,382.0,383.0,417.0,402.0,399.0,388.0,393.0,398.0,390.0,407.0,399.0,398.0,414.0,388.0,388.0,394.0,423.0,395.0,405.0,400.0,390.0,402.0,390.0,397.0,397.0,415.0,401.0,405.0,377.0,383.0,401.0,397.0,401.0,385.0,390.0,399.0,413.0,402.0,391.0,409.0,401.0,384.0,391.0,381.0,396.0,393.0,399.0,381.0,417.0,394.0,428.0,394.0,400.0,382.0,394.0,395.0,408.0,372.0,382.0,393.0,383.0,390.0,404.0,386.0,408.0,390.0,402.0,385.0,397.0,391.0,392.0,391.0,406.0,389.0,383.0,389.0,389.0,410.0,406.0,391.0,404.0,409.0,404.0,387.0,381.0,415.0,417.0,394.0,400.0,387.0,404.0,390.0,393.0,400.0,396.0,396.0,391.0,402.0,382.0,393.0,403.0,399.0,385.0,411.0,402.0,394.0,378.0,400.0,407.0,391.0,396.0,380.0,387.0,373.0,403.0,406.0,389.0,400.0,406.0,419.0,407.0,401.0,398.0,410.0,422.0,399.0,420.0,405.0,403.0,383.0,404.0,418.0,398.0,389.0,391.0,415.0,379.0,382.0,379.0,396.0,418.0,408.0,402.0,427.0,413.0,400.0,409.0,384.0,395.0,406.0,402.0,395.0,413.0,419.0,423.0,398.07,11.988901903186173
1,1,79.0,73.0,66.0,74.0,66.0,64.0,69.0,71.0,80.0,64.0,80.0,70.0,72.0,58.0,75.0,77.0,69.0,61.0,64.0,57.0,69.0,74.0,69.0,61.0,60.0,71.0,64.0,66.0,70.0,76.0,69.0,70.0,61.0,64.0,74.0,69.0,60.0,61.0,60.0,71.0,58.0,64.0,59.0,66.0,59.0,72.0,56.0,69.0,71.0,61.0,71.0,77.0,59.0,67.0,68.0,65.0,65.0,70.0,69.0,75.0,78.0,57.0,71.0,70.0,76.0,67.0,70.0,69.0,76.0,70.0,66.0,64.0,67.0,57.0,77.0,71.0,68.0,70.0,60.0,65.0,66.0,62.0,75.0,70.0,70.0,76.0,63.0,73.0,55.0,71.0,73.0,66.0,71.0,66.0,63.0,65.0,69.0,69.0,69.0,72.0,60.0,60.0,70.0,80.0,69.0,69.0,73.0,70.0,78.0,76.0,68.0,68.0,57.0,68.0,73.0,58.0,70.0,71.0,70.0,61.0,68.0,64.0,67.0,66.0,68.0,62.0,64.0,81.0,63.0,78.0,65.0,72.0,65.0,59.0,69.0,77.0,65.0,68.0,70.0,65.0,68.0,77.0,62.0,62.0,71.0,71.0,69.0,67.0,71.0,69.0,73.0,68.0,83.0,69.0,69.0,63.0,69.0,76.0,65.0,91.0,61.0,60.0,69.0,68.0,64.0,63.0,71.0,72.0,70.0,63.0,67.0,76.0,65.0,57.0,72.0,60.0,71.0,69.0,66.0,62.0,56.0,68.0,57.0,70.0,65.0,67.0,58.0,66.0,69.0,62.0,73.0,70.0,70.0,67.0,70.0,56.0,61.0,62.0,50.0,66.0,68.0,67.59,6.029400330191099
1,2,2.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,4.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,6.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,4.0,5.0,2.0,5.0,2.0,2.0,0.0,1.0,2.0,3.0,4.0,7.0,4.0,4.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,5.0,1.0,2.0,7.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,0.0,2.0,2.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,3.0,4.0,0.0,2.0,1.0,2.0,2.42,1.3046495900293764
2,0,149.0,164.0,165.0,159.0,144.0,151.0,168.0,165.0,157.0,149.0,160.0,155.0,159.0,155.0,166.0,151.0,163.0,157.0,155.0,164.0,150.0,162.0,167.0,163.0,159.0,160.0,164.0,148.0,158.0,171.0,159.0,151.0,141.0,155.0,176.0,150.0,153.0,158.0,173.0,156.0,163.0,156.0,168.0,151.0,154.0,160.0,152.0,160.0,153.0,150.0,176.0,148.0,169.0,145.0,166.0,147.0,158.0,160.0,150.0,156.0,175.0,160.0,154.0,160.0,149.0,161.0,160.0,146.0,154.0,161.0,160.0,165.0,162.0,154.0,168.0,148.0,145.0,158.0,157.0,163.0,178.0,161.0,153.0,160.0,161.0,155.0,150.0,170.0,157.0,152.0,157.0,171.0,157.0,164.0,157.0,152.0,146.0,158.0,155.0,158.0,165.0,157.0,147.0,161.0,164.0,149.0,159.0,171.0,160.0,149.0,159.0,170.0,153.0,171.0,150.0,156.0,145.0,151.0,152.0,154.0,173.0,156.0,160.0,158.0,165.0,155.0,154.0,146.0,157.0,156.0,173.0,140.0,159.0,152.0,159.0,157.0,162.0,165.0,155.0,151.0,145.0,157.0,159.0,167.0,162.0,156.0,157.0,154.0,158.0,153.0,146.0,188.0,155.0,140.0,156.0,166.0,167.0,163.0,156.0,161.0,148.0,165.0,155.0,160.0,166.0,146.0,156.0,148.0,159.0,162.0,148.0,148.0,152.0,151.0,151.0,161.0,141.0,151.0,156.0,173.0,168.0,146.0,156.0,158.0,156.0,152.0,170.0,145.0,159.0,150.0,148.0,153.0,157.0,163.0,159.0,157.0,152.0,161.0,158.0,156.0,153.0,157.455,7.834851593839378
2,1,45.0,40.0,37.0,39.0,48.0,42.0,39.0,44.0,39.0,35.0,43.0,49.0,44.0,34.0,41.0,40.0,39.0,42.0,42.0,40.0,45.0,41.0,37.0,39.0,39.0,38.0,41.0,44.0,43.0,42.0,38.0,43.0,45.0,39.0,32.0,41.0,39.0,43.0,49.0,42.0,44.0,41.0,38.0,43.0,42.0,36.0,45.0,48.0,41.0,42.0,28.0,49.0,41.0,45.0,46.0,43.0,42.0,40.0,41.0,43.0,43.0,44.0,34.0,38.0,47.0,42.0,46.0,41.0,48.0,35.0,39.0,52.0,44.0,47.0,52.0,44.0,47.0,49.0,45.0,39.0,44.0,40.0,39.0,47.0,39.0,45.0,40.0,35.0,42.0,48.0,36.0,44.0,51.0,46.0,36.0,49.0,44.0,38.0,48.0,42.0,49.0,42.0,39.0,36.0,44.0,46.0,37.0,36.0,38.0,48.0,43.0,44.0,54.0,40.0,55.0,51.0,37.0,42.0,49.0,49.0,38.0,48.0,42.0,47.0,42.0,43.0,44.0,32.0,43.0,40.0,46.0,47.0,41.0,48.0,48.0,42.0,43.0,49.0,33.0,44.0,45.0,40.0,45.0,44.0,46.0,36.0,44.0,44.0,49.0,46.0,42.0,32.0,38.0,49.0,41.0,35.0,37.0,37.0,42.0,48.0,54.0,43.0,44.0,46.0,37.0,51.0,39.0,48.0,42.0,34.0,42.0,50.0,47.0,47.0,39.0,47.0,52.0,32.0,47.0,47.0,39.0,52.0,42.0,41.0,41.0,46.0,45.0,37.0,35.0,31.0,38.0,44.0,40.0,51.0,44.0,43.0,48.0,41.0,42.0,38.0,44.0,42.565,4.890332479371313
2,2,11.0,3.0,4.0,6.0,5.0,6.0,9.0,6.0,3.0,5.0,4.0,7.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,6.0,1.0,7.0,5.0,4.0,5.0,8.0,2.0,8.0,4.0,3.0,2.0,9.0,8.0,8.0,7.0,5.0,5.0,7.0,10.0,4.0,6.0,6.0,3.0,3.0,5.0,8.0,4.0,3.0,6.0,5.0,6.0,6.0,4.0,3.0,9.0,4.0,6.0,5.0,6.0,4.0,7.0,5.0,3.0,4.0,4.0,12.0,5.0,7.0,4.0,5.0,6.0,3.0,4.0,3.0,6.0,6.0,6.0,10.0,5.0,5.0,1.0,4.0,2.0,5.0,7.0,6.0,4.0,9.0,3.0,4.0,5.0,4.0,6.0,9.0,5.0,1.0,3.0,5.0,7.0,4.0,4.0,5.0,2.0,7.0,9.0,4.0,3.0,6.0,5.0,5.0,8.0,2.0,2.0,2.0,4.0,6.0,8.0,5.0,8.0,7.0,3.0,5.0,5.0,7.0,7.0,7.0,7.0,2.0,6.0,6.0,9.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,3.0,8.0,7.0,6.0,7.0,5.0,11.0,6.0,7.0,4.0,3.0,5.0,4.0,2.0,6.0,3.0,5.0,5.0,4.0,6.0,6.0,1.0,2.0,6.0,3.0,6.0,5.0,6.0,6.0,8.0,2.0,5.0,1.0,5.0,4.0,3.0,4.0,3.0,7.0,9.0,9.0,3.0,5.0,8.0,6.0,6.0,5.0,4.0,6.0,2.0,4.0,6.0,7.0,3.0,2.0,5.0,7.0,7.0,8.0,10.0,8.0,7.0,2.0,5.185,2.0982823796437917
3,0,74.0,57.0,77.0,62.0,75.0,71.0,61.0,67.0,69.0,72.0,74.0,68.0,63.0,81.0,65.0,70.0,67.0,75.0,81.0,76.0,65.0,69.0,77.0,68.0,84.0,60.0,77.0,76.0,72.0,69.0,75.0,74.0,80.0,61.0,71.0,65.0,72.0,69.0,60.0,66.0,73.0,76.0,65.0,70.0,74.0,75.0,81.0,65.0,71.0,66.0,71.0,63.0,69.0,70.0,63.0,69.0,80.0,67.0,69.0,66.0,61.0,63.0,68.0,78.0,70.0,65.0,72.0,84.0,75.0,83.0,68.0,64.0,72.0,75.0,67.0,81.0,74.0,73.0,65.0,70.0,73.0,71.0,71.0,68.0,74.0,73.0,75.0,65.0,69.0,73.0,68.0,69.0,72.0,73.0,65.0,74.0,85.0,69.0,74.0,75.0,58.0,66.0,71.0,76.0,72.0,81.0,73.0,79.0,73.0,71.0,75.0,68.0,77.0,62.0,79.0,70.0,78.0,82.0,65.0,70.0,70.0,66.0,73.0,68.0,68.0,79.0,71.0,80.0,67.0,69.0,69.0,69.0,73.0,73.0,70.0,77.0,61.0,72.0,80.0,72.0,80.0,60.0,72.0,73.0,67.0,83.0,67.0,78.0,79.0,65.0,70.0,60.0,75.0,82.0,79.0,65.0,82.0,65.0,74.0,75.0,76.0,65.0,70.0,76.0,74.0,75.0,80.0,76.0,75.0,74.0,66.0,66.0,59.0,81.0,69.0,65.0,72.0,70.0,66.0,62.0,77.0,68.0,74.0,69.0,78.0,69.0,66.0,73.0,60.0,72.0,82.0,67.0,70.0,74.0,69.0,79.0,66.0,72.0,73.0,60.0,73.0,71.2,5.937700009855261
