total_obs,total_exp,freq
0,0,372
0,1,121
0,2,23
0,3,9
0,4,1
0,5,3
1,0,414
1,1,77
1,2,6
1,3,2
2,0,210
2,1,58
2,2,13
3,0,110
3,1,70
3,2,12
3,3,4
4,0,60
4,1,36
4,2,11
4,3,1
4,4,1
5,0,40
5,1,28
5,2,12
5,3,1
5,4,1
6,0,21
6,1,17
6,2,15
6,3,2
7,0,15
7,1,8
7,2,6
7,3,6
7,4,1
8,0,5
8,1,10
8,2,3
8,3,4
8,5,1
9,0,4
9,1,1
9,2,3
9,3,1
9,5,1
10,0,1
10,1,8
10,2,4
10,3,1
10,4,1
11,0,2
11,1,4
11,2,3
11,3,1
11,4,1
11,5,1
12,0,2
12,2,1
12,4,1
12,5,1
13,1,2
13,3,2
13,4,1
14,0,1
14,1,1
14,2,1
14,3,3
14,4,1
15,1,1
15,2,2
15,4,1
15,5,1
16,0,1
16,2,1
16,3,2
16,5,1
17,0,1
17,2,2
17,3,2
18,2,2
19,2,1
19,5,2
20,3,1
21,3,1
21,6,1
21,7,1
22,2,1
22,7,1
47,4,1
