id,start_date,ban_date,period
account.028c2a3e292843a69b70a745abc13d96,2019-03-04,2019-03-11,8
account.3935667f2c7443deb6ee47e8b9b09aab,2019-03-05,2019-03-06,2
account.74e33deb357d4c11a96a2892be2bfbff,2019-03-10,2019-03-11,2
account.ba1f0c4b7f964c5c9b1f20178309e2d2,2019-03-08,2019-03-09,2
account.c63a4df4494a4969bedecc315016e84b,2019-03-04,2019-03-04,1
account.104f1af626d44f1ca4d495b4228f6870,2019-03-01,2019-03-14,14
account.275a8b3b96004fb3aa4aa9f2e5f46ea1,2019-03-14,2019-03-15,2
account.297df28e228c4e81a131c0f9f5a25d92,2019-03-09,2019-03-12,4
account.3874112c8d0a43e1a1d51997a98411ba,2019-03-19,2019-03-21,3
account.444c8995ddca47e193b437aef17f0a7d,2019-03-08,2019-03-11,4
account.667a5803790448b5ba17e4702cd28fec,2019-03-09,2019-03-29,21
account.798bd81226364ffdb6466af9f8eeb4e0,2019-03-01,2019-03-14,14
account.7af59277d435471db7f86469ecd16eee,2019-03-05,2019-03-06,2
account.83c2605a4735479eac7ea93d2ca3ad3e,2019-03-02,2019-03-09,8
account.8d15d033bf354b8e82d64470337f091e,2019-03-30,2019-03-31,2
account.a1180f2ef8a0427db079db0ff1c10762,2019-03-04,2019-03-31,28
account.a200c33f8f214a3085f13c1913840b3b,2019-03-22,2019-03-30,9
account.ad50ff46249744f9a9ab80e15792e8f0,2019-03-05,2019-03-06,2
account.cfa9f2417f1c44ac96e7969587c63aae,2019-03-03,2019-03-04,2
account.d7b0c958621e46bfab10431aede1b2fa,2019-03-05,2019-03-09,5
account.ef26a3a6f2ae404cbf21df076ea7d9dd,2019-03-24,2019-03-28,5
account.0657d0fb184f41fea454638d5ccf5325,2019-03-03,2019-03-04,2
account.2065813df5f0494fa8ec24d62c928dff,2019-03-10,2019-03-16,7
account.2b7cbdeb37e6426cbaf6c75668d4e27c,2019-03-03,2019-03-04,2
account.4605b3406d3f4e2dac9b6f29ac4ccb92,2019-03-09,2019-03-10,2
account.4ada2da4a02b408786b11e56f18ac776,2019-03-03,2019-03-04,2
account.5966c422f0004dbc938ef0e18473f15f,2019-03-03,2019-03-04,2
account.5daccf0c542b42b0b9534615a953a5ac,2019-03-06,2019-03-07,2
account.62ba7532b83248b0b85e5bbc7033a3c2,2019-03-11,2019-03-21,11
account.b55d2ce05ab548298c636a25f2c47397,2019-03-04,2019-03-05,2
account.c7afec7274fc4995b1de48e342c97119,2019-03-17,2019-03-26,10
account.c8348adfe6ac4503b494536208c75dd1,2019-03-03,2019-03-04,2
account.dc0d711bae2c42c9975872b5bf312761,2019-03-01,2019-03-02,2
account.feec603d5ae6470994e28180753f623a,2019-03-01,2019-03-01,1
account.1901342f54324f40ab277f0d4233bd50,2019-03-04,2019-03-11,8
account.29acebe2f9144fb7b7bbb1fa33b3fa80,2019-03-29,2019-03-30,2
account.45342e6958514bc2bac321d7cc889479,2019-03-12,2019-03-12,1
account.5b9bfde4ccd0405d985ba592b2a59367,2019-03-10,2019-03-26,17
account.6fa028671c7d4d279f23a56a35640abb,2019-03-13,2019-03-24,12
account.80fdbf39e23b43e5b8a1d92c1867f405,2019-03-22,2019-03-28,7
account.84704d9d0c6149c9998d51e3a5454e0e,2019-03-09,2019-03-11,3
account.85ccc0cb8c0242e58b617bb9b43f4528,2019-03-01,2019-03-09,9
account.9d675dd1e63f46bcb073d31943176add,2019-03-26,2019-03-27,2
account.aac6cfc6c71349ea89cf66d60ddd9f8b,2019-03-12,2019-03-14,3
account.d5cb756b393c413aaa5cbec95d88f013,2019-03-17,2019-03-19,3
account.f044fc94d07d4bffa49e65186ede9fdd,2019-03-12,2019-03-14,3
account.1cb18d1a2c9840bcb841bf4c14375e9b,2019-03-18,2019-03-19,2
account.475816f045ef4f908853924e82336698,2019-03-22,2019-03-22,1
account.47f193c40b9e4a8ea9d0d84a47876006,2019-03-10,2019-03-12,3
account.5b2f6909d3004ba2a55497d9d36c2c80,2019-03-03,2019-03-04,2
account.62c8152f85624255945b3ca32f996a88,2019-03-23,2019-03-29,7
account.70cd0d5922b74c04967869b8a0ef651c,2019-03-30,2019-03-30,1
account.78188761227449be891d4f8af9dc9045,2019-03-11,2019-03-12,2
account.79812cc7fc9f4520befe0260bee37db7,2019-03-23,2019-03-26,4
account.8e128891960e4b03bb93b8eb1059cb11,2019-03-24,2019-03-29,6
account.9194c36301e7408dbdd2268c822cb933,2019-03-21,2019-03-22,2
account.aad5f6cc2f774856beab34c8134ddfcb,2019-03-06,2019-03-15,10
account.ca264322a0a84be6be0a918fbc1faf27,2019-03-05,2019-03-06,2
account.cccac1cfe4494d8d9529c47c14d948c0,2019-03-05,2019-03-06,2
account.d086058c404449a99a3d835814f1b92c,2019-03-01,2019-03-09,9
account.daf4ee35ce534fc49a5c39e50f46faa2,2019-03-09,2019-03-09,1
account.eb7c962ec401489fa506035a3c9af311,2019-03-01,2019-03-01,1
account.13acc9e34f0041e8a00e87ac0059eba8,2019-03-10,2019-03-12,3
account.92b450bd571048539d9aa7847a0263a9,2019-03-02,2019-03-03,2
account.d5e7ae3dc1c34b5ab4f124038580a892,2019-03-10,2019-03-11,2
account.f53b0bcde9f240488649910b3a0c2955,2019-03-01,2019-03-02,2
account.108d74fe225848508086496a9e3c770c,2019-03-04,2019-03-05,2
account.16b8bc62a014480590fe7bbf98b732d2,2019-03-02,2019-03-03,2
account.181e1a1e3a6e439dba9ba73f4263b005,2019-03-15,2019-03-17,3
account.20b7bfec99fd470c8e49ccf32dadeb29,2019-03-09,2019-03-09,1
account.4a8bbb9e9070441e9c5bc0ceca4b14fb,2019-03-03,2019-03-06,4
account.8b4e4ee77a534fb0bc94f72baa5e9d25,2019-03-15,2019-03-16,2
account.92d7e8a5e9594dddbc4443284ed21346,2019-03-10,2019-03-12,3
account.aa1a14287d71463e97a82d51f426036e,2019-03-23,2019-03-23,1
account.aa508351009f4be6928154ab6c2ed6a7,2019-03-18,2019-03-20,3
account.c307e7c117fc4a4ca131359cd7659c02,2019-03-16,2019-03-17,2
account.efed124699774b03bc41817c59d0849d,2019-03-05,2019-03-09,5
account.f039a0fe8e154be89de85c6d67aae948,2019-03-30,2019-03-31,2
account.fe2121a9a73e4254836ff8d3db673cbe,2019-03-05,2019-03-06,2
account.35a019731c8a4f08b1bbc411bad9e26e,2019-03-03,2019-03-07,5
account.35ed6ad1d3e64e62ab854cd3247f9106,2019-03-16,2019-03-17,2
account.5d7f31c9302548808d278e17acd13f89,2019-03-01,2019-03-02,2
account.607ae3fdc55047ccadb189563773e140,2019-03-09,2019-03-11,3
account.6437abdf8719484b8e91410400c197b6,2019-03-05,2019-03-06,2
account.6899cdacd63843da82714b70ffb4af8f,2019-03-20,2019-03-22,3
account.78b58a53307f4f21a7497129a199941f,2019-03-03,2019-03-04,2
account.9fdf78a27dde4654973da91493af75e7,2019-03-16,2019-03-17,2
account.ab8ac84483a7487fb309ef1967cc3a97,2019-03-26,2019-03-27,2
account.b9dbd7a5bf384c8285be9d9e9d671a7e,2019-03-06,2019-03-07,2
account.d1d2f1dfeddc41aeb9e7a2352a1bfbd9,2019-03-10,2019-03-11,2
