m_date,num_of_mids
2019-03-03,45696
2019-03-11,29363
2019-03-28,24271
2019-03-19,29523
2019-03-01,48886
2019-03-23,50375
2019-03-30,49550
2019-03-16,50550
2019-03-25,29115
2019-03-31,45487
2019-03-14,29890
2019-03-15,37090
2019-03-10,46290
2019-03-17,45816
2019-03-22,36154
2019-03-26,27491
2019-03-09,50479
2019-03-08,36469
2019-03-13,29009
2019-03-18,29833
2019-03-06,30434
2019-03-02,48995
2019-03-24,45624
2019-03-27,29446
2019-03-21,31193
2019-03-07,31267
2019-03-20,29240
2019-03-29,36189
2019-03-05,30504
2019-03-04,33555
2019-03-12,29157
