total_obs,total_exp,freq
0,0,482
0,1,55
0,2,1
1,0,559
1,1,115
1,2,16
2,0,277
2,1,91
2,2,15
2,3,3
3,0,159
3,1,82
3,2,27
3,3,4
4,0,80
4,1,50
4,2,16
4,3,6
5,0,39
5,1,35
5,2,24
5,3,1
5,4,1
6,0,24
6,1,41
6,2,12
6,3,7
7,0,12
7,1,43
7,2,14
7,3,9
7,4,1
7,5,1
8,0,12
8,1,19
8,2,10
8,3,8
9,0,12
9,1,10
9,2,13
9,3,2
9,5,1
10,0,5
10,1,11
10,2,8
10,3,5
10,4,1
10,6,1
11,0,2
11,1,8
11,2,8
11,3,3
11,4,2
12,1,3
12,2,4
12,3,3
12,4,4
12,6,1
13,1,3
13,2,7
13,3,5
13,4,2
13,5,2
14,0,1
14,2,6
14,3,1
14,4,3
15,2,3
15,3,1
15,4,1
15,5,1
15,7,1
16,1,1
16,3,1
16,4,1
17,0,1
17,1,1
17,2,1
17,3,4
17,4,1
18,0,1
18,1,1
18,2,3
18,3,1
18,4,1
18,6,1
19,3,2
19,4,1
19,5,2
19,6,1
20,1,2
20,2,1
20,3,2
20,4,1
20,6,1
21,2,1
21,3,1
21,4,2
21,5,1
22,0,1
22,4,1
23,4,1
24,2,1
24,3,1
24,4,3
25,5,1
25,6,1
26,2,1
26,3,1
26,4,1
26,8,1
27,2,1
29,1,1
29,4,1
31,10,1
32,4,1
38,8,1
42,5,1
42,6,1
76,12,1
