total_obs,total_exp,E,R1,R2,R3,R4,R5
0,0,644.0,653.0,664.0,644.0,651.0,648.0
0,1,180.0,181.0,188.0,183.0,196.0,170.0
0,2,29.0,35.0,31.0,31.0,38.0,26.0
0,3,11.0,7.0,9.0,12.0,9.0,15.0
0,4,1.0,1.0,2.0,4.0,2.0,3.0
0,5,3.0,2.0,0.0,0.0,1.0,0.0
1,0,330.0,339.0,323.0,337.0,343.0,340.0
1,1,109.0,111.0,93.0,117.0,97.0,103.0
1,2,23.0,23.0,26.0,23.0,25.0,28.0
1,3,4.0,3.0,1.0,1.0,3.0,4.0
1,4,0.0,1.0,0.0,0.0,0.0,0.0
2,0,122.0,122.0,126.0,117.0,112.0,122.0
2,1,57.0,70.0,63.0,61.0,67.0,57.0
2,2,19.0,15.0,14.0,19.0,17.0,15.0
2,3,4.0,0.0,1.0,4.0,2.0,4.0
2,4,1.0,0.0,1.0,1.0,0.0,1.0
3,0,50.0,37.0,52.0,52.0,55.0,46.0
3,1,41.0,29.0,27.0,24.0,31.0,35.0
3,2,20.0,12.0,20.0,17.0,11.0,11.0
3,3,2.0,3.0,7.0,2.0,7.0,3.0
3,4,1.0,1.0,2.0,0.0,1.0,0.0
3,5,0.0,0.0,1.0,0.0,0.0,0.0
4,0,26.0,35.0,33.0,25.0,21.0,30.0
4,1,16.0,19.0,22.0,23.0,25.0,22.0
4,2,11.0,15.0,11.0,8.0,8.0,8.0
4,3,2.0,4.0,4.0,3.0,0.0,3.0
4,4,3.0,2.0,4.0,1.0,4.0,4.0
4,5,2.0,2.0,0.0,0.0,3.0,3.0
4,7,0.0,0.0,0.0,0.0,1.0,0.0
4,8,0.0,1.0,0.0,0.0,0.0,0.0
5,0,18.0,7.0,7.0,15.0,12.0,10.0
5,1,17.0,11.0,12.0,16.0,10.0,10.0
5,2,5.0,12.0,5.0,7.0,6.0,8.0
5,3,6.0,6.0,5.0,5.0,2.0,4.0
5,4,0.0,2.0,2.0,4.0,2.0,0.0
5,7,0.0,0.0,0.0,1.0,0.0,0.0
6,0,8.0,6.0,5.0,8.0,6.0,4.0
6,1,5.0,6.0,9.0,4.0,8.0,6.0
6,2,3.0,2.0,5.0,2.0,5.0,8.0
6,3,3.0,5.0,2.0,3.0,8.0,2.0
6,4,1.0,0.0,1.0,2.0,1.0,2.0
6,5,1.0,0.0,1.0,1.0,0.0,2.0
7,0,2.0,3.0,4.0,2.0,1.0,3.0
7,1,6.0,3.0,1.0,5.0,4.0,4.0
7,2,2.0,2.0,3.0,0.0,3.0,3.0
7,3,3.0,2.0,0.0,1.0,0.0,0.0
7,4,2.0,1.0,0.0,1.0,0.0,1.0
