sev_obs,sev_exp,freq
0,0,953
0,1,17
1,0,584
1,1,74
1,2,2
2,0,268
2,1,70
2,2,7
3,0,124
3,1,59
3,2,7
4,0,68
4,1,39
4,2,16
4,3,2
5,0,45
5,1,35
5,2,8
5,3,2
6,0,23
6,1,21
6,2,6
6,3,1
7,0,14
7,1,12
7,2,4
7,3,1
8,0,14
8,1,3
8,2,5
8,3,2
8,4,1
9,0,5
9,1,9
9,2,8
9,3,2
10,0,5
10,1,2
10,3,1
11,0,2
11,1,4
11,2,2
12,0,2
12,1,3
12,2,2
12,3,1
13,0,1
13,1,3
13,2,1
13,3,1
13,4,1
14,0,1
14,2,1
14,3,2
15,0,1
15,1,4
15,2,1
15,3,1
16,0,1
16,1,1
16,2,1
16,4,1
17,0,2
17,5,1
18,0,1
18,1,1
18,2,1
18,3,1
19,3,1
20,3,1
22,0,1
22,2,1
22,3,1
23,2,1
25,2,1
26,1,1
28,5,1
32,3,1
53,8,1
