total_obs,total_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
0,0,644.0,653.0,664.0,644.0,651.0,648.0,652.0,670.0,648.0,648.0,647.0,652.0,656.0,649.0,642.0,658.0,648.0,661.0,637.0,660.0,654.0,638.0,658.0,663.0,666.0,633.0,669.0,654.0,660.0,641.0,663.0,654.0,652.0,676.0,662.0,655.0,648.0,654.0,669.0,649.0,646.0,660.0,655.0,670.0,654.0,636.0,677.0,664.0,647.0,660.0,646.0
0,1,180.0,181.0,188.0,183.0,196.0,170.0,185.0,179.0,179.0,189.0,188.0,171.0,165.0,176.0,172.0,173.0,182.0,189.0,165.0,171.0,169.0,188.0,192.0,179.0,172.0,181.0,170.0,194.0,182.0,198.0,185.0,182.0,177.0,172.0,188.0,174.0,185.0,191.0,184.0,181.0,188.0,179.0,179.0,186.0,177.0,188.0,172.0,171.0,180.0,193.0,172.0
0,2,29.0,35.0,31.0,31.0,38.0,26.0,36.0,27.0,34.0,31.0,33.0,27.0,36.0,35.0,33.0,27.0,30.0,26.0,32.0,26.0,33.0,27.0,29.0,30.0,31.0,33.0,38.0,19.0,22.0,32.0,36.0,30.0,34.0,30.0,30.0,26.0,30.0,28.0,30.0,34.0,26.0,31.0,37.0,34.0,26.0,25.0,37.0,30.0,35.0,31.0,26.0
0,3,11.0,7.0,9.0,12.0,9.0,15.0,8.0,6.0,10.0,7.0,11.0,10.0,10.0,8.0,10.0,12.0,11.0,6.0,3.0,7.0,12.0,8.0,13.0,13.0,9.0,8.0,8.0,9.0,8.0,6.0,6.0,4.0,6.0,10.0,4.0,12.0,4.0,9.0,12.0,7.0,7.0,15.0,6.0,7.0,9.0,10.0,11.0,11.0,8.0,9.0,9.0
0,4,1.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,1.0,2.0,6.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,3.0,5.0,6.0,3.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,3.0,5.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0
0,5,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,330.0,339.0,323.0,337.0,343.0,340.0,318.0,308.0,331.0,332.0,317.0,351.0,353.0,344.0,338.0,340.0,336.0,349.0,359.0,339.0,334.0,335.0,319.0,328.0,344.0,338.0,334.0,344.0,325.0,313.0,328.0,339.0,336.0,328.0,323.0,352.0,340.0,340.0,313.0,327.0,340.0,335.0,335.0,348.0,327.0,328.0,319.0,319.0,354.0,337.0,327.0
1,1,109.0,111.0,93.0,117.0,97.0,103.0,108.0,106.0,117.0,114.0,114.0,112.0,111.0,103.0,118.0,111.0,109.0,107.0,100.0,96.0,110.0,120.0,103.0,112.0,100.0,109.0,106.0,118.0,105.0,118.0,118.0,110.0,99.0,105.0,108.0,107.0,113.0,118.0,97.0,120.0,100.0,109.0,97.0,108.0,106.0,114.0,92.0,109.0,105.0,98.0,114.0
