total_obs,total_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
0,0,962.0,978.0,981.0,974.0,974.0,976.0,948.0,977.0,973.0,977.0,951.0,987.0,1004.0,986.0,955.0,972.0,977.0,990.0,976.0,987.0,967.0,964.0,982.0,980.0,991.0,964.0,992.0,986.0,983.0,951.0,985.0,974.0,974.0,992.0,976.0,1002.0,960.0,993.0,986.0,967.0,977.0,997.0,984.0,990.0,961.0,965.0,989.0,979.0,981.0,993.0,967.0
0,1,304.0,301.0,299.0,306.0,310.0,295.0,308.0,291.0,307.0,309.0,314.0,297.0,291.0,300.0,307.0,294.0,313.0,320.0,294.0,287.0,298.0,313.0,306.0,300.0,284.0,312.0,301.0,333.0,304.0,329.0,314.0,311.0,289.0,303.0,311.0,307.0,312.0,319.0,307.0,311.0,303.0,302.0,300.0,307.0,304.0,311.0,286.0,294.0,293.0,297.0,305.0
0,2,63.0,63.0,63.0,61.0,78.0,58.0,71.0,55.0,64.0,68.0,61.0,56.0,63.0,61.0,53.0,61.0,53.0,51.0,59.0,55.0,61.0,51.0,54.0,57.0,58.0,58.0,63.0,41.0,49.0,65.0,62.0,57.0,51.0,59.0,54.0,59.0,56.0,51.0,54.0,61.0,47.0,63.0,65.0,56.0,60.0,50.0,70.0,59.0,70.0,60.0,64.0
0,3,16.0,11.0,13.0,17.0,13.0,16.0,19.0,10.0,14.0,11.0,15.0,17.0,14.0,13.0,17.0,15.0,15.0,12.0,9.0,13.0,16.0,18.0,14.0,19.0,15.0,11.0,10.0,13.0,14.0,11.0,11.0,11.0,14.0,13.0,9.0,16.0,8.0,15.0,26.0,8.0,10.0,18.0,8.0,14.0,15.0,17.0,13.0,16.0,16.0,16.0,12.0
0,4,2.0,1.0,3.0,8.0,2.0,3.0,8.0,4.0,6.0,5.0,3.0,3.0,8.0,2.0,5.0,2.0,3.0,6.0,5.0,3.0,5.0,1.0,7.0,3.0,5.0,4.0,3.0,4.0,3.0,7.0,3.0,6.0,6.0,3.0,6.0,1.0,5.0,5.0,4.0,3.0,3.0,6.0,7.0,1.0,4.0,1.0,2.0,4.0,3.0,3.0,4.0
0,5,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0
0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,194.0,189.0,190.0,186.0,190.0,182.0,195.0,172.0,182.0,183.0,188.0,180.0,186.0,177.0,205.0,192.0,190.0,196.0,194.0,187.0,195.0,191.0,185.0,182.0,203.0,175.0,190.0,175.0,182.0,184.0,176.0,183.0,174.0,182.0,188.0,164.0,196.0,174.0,173.0,188.0,186.0,168.0,195.0,197.0,193.0,182.0,187.0,175.0,176.0,184.0,190.0
1,1,90.0,100.0,86.0,91.0,97.0,86.0,102.0,110.0,99.0,85.0,103.0,103.0,87.0,100.0,96.0,99.0,85.0,90.0,95.0,96.0,89.0,99.0,100.0,102.0,89.0,93.0,86.0,92.0,87.0,104.0,95.0,102.0,111.0,98.0,95.0,91.0,105.0,101.0,99.0,91.0,99.0,99.0,74.0,95.0,103.0,97.0,89.0,99.0,105.0,98.0,93.0
1,2,33.0,40.0,38.0,35.0,21.0,31.0,31.0,29.0,33.0,33.0,39.0,33.0,29.0,25.0,29.0,29.0,31.0,27.0,35.0,31.0,25.0,32.0,30.0,22.0,33.0,36.0,25.0,36.0,33.0,25.0,27.0,27.0,29.0,22.0,30.0,30.0,28.0,31.0,36.0,32.0,34.0,37.0,32.0,31.0,29.0,34.0,38.0,33.0,33.0,30.0,25.0
1,3,13.0,7.0,10.0,5.0,10.0,11.0,8.0,19.0,6.0,7.0,6.0,6.0,10.0,10.0,10.0,8.0,13.0,6.0,9.0,7.0,17.0,17.0,14.0,10.0,13.0,7.0,11.0,11.0,8.0,9.0,6.0,16.0,12.0,13.0,12.0,8.0,9.0,9.0,8.0,9.0,12.0,9.0,8.0,10.0,6.0,9.0,4.0,17.0,9.0,12.0,8.0
1,4,4.0,5.0,4.0,2.0,2.0,6.0,2.0,4.0,2.0,4.0,6.0,3.0,3.0,4.0,7.0,4.0,5.0,7.0,1.0,1.0,3.0,1.0,0.0,4.0,6.0,4.0,1.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0
1,5,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0
1,6,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,35.0,27.0,34.0,30.0,31.0,37.0,31.0,33.0,29.0,36.0,29.0,30.0,28.0,32.0,27.0,35.0,29.0,35.0,34.0,32.0,27.0,27.0,34.0,27.0,32.0,30.0,30.0,29.0,33.0,32.0,33.0,36.0,28.0,39.0,27.0,30.0,25.0,32.0,30.0,31.0,31.0,32.0,31.0,30.0,26.0,31.0,30.0,33.0,35.0,21.0,33.0
2,1,24.0,25.0,25.0,31.0,19.0,17.0,24.0,30.0,25.0,22.0,30.0,22.0,25.0,27.0,19.0,26.0,26.0,23.0,22.0,37.0,28.0,22.0,25.0,30.0,26.0,32.0,29.0,22.0,32.0,27.0,19.0,23.0,36.0,23.0,27.0,26.0,26.0,24.0,21.0,23.0,20.0,31.0,29.0,25.0,22.0,18.0,25.0,31.0,28.0,29.0,19.0
2,2,14.0,7.0,11.0,12.0,9.0,13.0,12.0,10.0,12.0,11.0,14.0,18.0,11.0,20.0,9.0,17.0,9.0,14.0,13.0,7.0,12.0,14.0,14.0,18.0,12.0,11.0,15.0,11.0,12.0,14.0,15.0,12.0,10.0,12.0,9.0,16.0,11.0,19.0,11.0,17.0,17.0,9.0,14.0,12.0,8.0,18.0,15.0,10.0,9.0,14.0,19.0
2,3,6.0,11.0,8.0,10.0,9.0,4.0,5.0,7.0,8.0,8.0,6.0,9.0,12.0,5.0,5.0,7.0,10.0,6.0,5.0,9.0,1.0,4.0,6.0,5.0,3.0,6.0,7.0,9.0,6.0,8.0,11.0,3.0,6.0,6.0,9.0,11.0,3.0,3.0,7.0,11.0,5.0,5.0,7.0,8.0,13.0,11.0,8.0,3.0,11.0,8.0,10.0
2,4,2.0,4.0,6.0,1.0,6.0,1.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,7.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,4.0,4.0,2.0,0.0,2.0,6.0,2.0,6.0,3.0,7.0,3.0,4.0,4.0,2.0,5.0,0.0,4.0,4.0,3.0,4.0
