total_obs,sev_exp,E,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50
0,0,805.0,800.0,828.0,798.0,822.0,802.0,810.0,808.0,809.0,806.0,803.0,797.0,801.0,804.0,785.0,793.0,803.0,819.0,782.0,801.0,798.0,795.0,818.0,817.0,810.0,789.0,818.0,802.0,811.0,807.0,828.0,800.0,802.0,814.0,820.0,797.0,798.0,807.0,824.0,802.0,800.0,800.0,804.0,817.0,802.0,800.0,826.0,808.0,803.0,816.0,793.0
0,1,58.0,73.0,58.0,66.0,69.0,48.0,71.0,71.0,62.0,63.0,70.0,62.0,62.0,62.0,67.0,74.0,64.0,60.0,58.0,57.0,69.0,62.0,66.0,62.0,67.0,60.0,62.0,71.0,59.0,72.0,59.0,73.0,67.0,74.0,64.0,67.0,68.0,75.0,70.0,66.0,68.0,82.0,72.0,75.0,62.0,53.0,70.0,65.0,65.0,75.0,53.0
0,2,4.0,5.0,6.0,9.0,5.0,11.0,3.0,6.0,4.0,9.0,8.0,5.0,10.0,7.0,8.0,6.0,7.0,6.0,1.0,7.0,4.0,5.0,11.0,8.0,9.0,8.0,7.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,7.0,7.0,8.0,7.0,4.0,6.0,3.0,3.0,11.0
0,3,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,385.0,400.0,374.0,401.0,400.0,406.0,382.0,363.0,390.0,405.0,377.0,413.0,414.0,409.0,403.0,398.0,396.0,412.0,419.0,400.0,395.0,401.0,372.0,396.0,401.0,398.0,393.0,413.0,390.0,385.0,396.0,404.0,394.0,388.0,374.0,416.0,409.0,415.0,374.0,398.0,402.0,397.0,395.0,410.0,393.0,391.0,379.0,384.0,417.0,400.0,398.0
1,1,79.0,73.0,66.0,74.0,67.0,64.0,69.0,71.0,80.0,65.0,80.0,71.0,72.0,58.0,75.0,77.0,69.0,61.0,65.0,57.0,69.0,74.0,71.0,62.0,61.0,71.0,65.0,66.0,70.0,76.0,69.0,70.0,61.0,64.0,74.0,69.0,60.0,61.0,60.0,71.0,58.0,65.0,59.0,66.0,59.0,72.0,56.0,70.0,71.0,61.0,71.0
1,2,2.0,4.0,3.0,3.0,1.0,5.0,4.0,5.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,4.0,4.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,6.0,4.0,2.0,4.0,2.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,146.0,164.0,164.0,157.0,145.0,150.0,166.0,163.0,156.0,150.0,161.0,157.0,158.0,152.0,162.0,152.0,164.0,156.0,154.0,163.0,149.0,163.0,165.0,160.0,161.0,161.0,165.0,146.0,154.0,170.0,154.0,150.0,140.0,156.0,174.0,151.0,151.0,154.0,170.0,157.0,162.0,156.0,167.0,149.0,155.0,160.0,154.0,159.0,150.0,147.0,176.0
